지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
충북 괴산군,교외대기,633361,청천면,2019010806,0.001,0.7,0.015,0.0077,60,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010707,0.001,0.6,0.011,0.012,54,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010609,0.001,0.5,0.012,0.0105,37,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010524,0.001,0.6,0.013,0.0154,58,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011406,0.001,0.8,0.011,0.011,109,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010606,0.001,0.5,0.012,0.0114,37,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010710,0.001,0.7,0.016,0.009,56,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010810,0.001,0.9,0.016,0.0081,61,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010604,0.001,0.5,0.012,0.0119,44,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010809,0.001,0.8,0.012,0.0095,61,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019011410,0.001,0.7,0.03,0.0102,132,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010709,0.001,0.7,0.012,0.011,53,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010808,0.001,0.8,0.012,0.0088,60,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010708,0.001,0.7,0.011,0.0125,49,,충북 괴산군 청천면 송문로 덕평길
충북 청주시,도시대기,533113,사천동,2019010124,0.001,0.4,0.031,0.011,26,13,"충북 청주시 청원구 사천동 233-223번지(사뜸로 61번길 88-14), 청주청원도서관 옥상(2층)"
충북 증평군,도시대기,633481,증평읍,2019010206,0.001,0.6,0.003,0.023,26,20,충북 증평군 증평읍 송산리 123-2
충북 괴산군,교외대기,633361,청천면,2019012408,0.001,0.5,0.015,0.0071,27,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010211,0.001,0.3,0.029,0.0044,,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010704,0.001,0.6,0.012,0.0136,57,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012603,0.001,0.6,0.022,0.008,62,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019012605,0.001,0.5,0.02,0.0081,56,,충북 괴산군 청천면 송문로 덕평길
충북 괴산군,교외대기,633361,청천면,2019010202,0.001,0.4,0.033,0.0043,27,,충북 괴산군 청천면 송문로 덕평길
